"date","adjusted"
2005-06-30,14201.05957
2005-07-31,14880.980469
2005-08-31,14903.549805
2005-09-30,15428.519531
2005-10-31,14386.370117
2005-11-30,14937.139648
2005-12-31,14876.429688
2006-01-31,15753.139648
2006-02-28,15918.480469
2006-03-31,15805.040039
2006-04-30,16661.300781
2006-05-31,15857.889648
2006-06-30,16267.620117
2006-07-31,16971.339844
2006-08-31,17392.269531
2006-09-30,17543.050781
2006-10-31,18324.349609
2006-11-30,18960.480469
2006-12-31,19964.720703
2007-01-31,20106.419922
2007-02-28,19651.509766
2007-03-31,19800.929688
2007-04-30,20318.980469
2007-05-31,20634.470703
2007-06-30,21772.730469
2007-07-31,23184.939453
2007-08-31,23984.140625
2007-09-30,27142.470703
2007-10-31,31352.580078
2007-11-30,28643.609375
2007-12-31,27812.650391
2008-01-31,23455.740234
2008-02-29,24331.669922
2008-03-31,22849.199219
2008-04-30,25755.349609
2008-05-31,24533.119141
2008-06-30,22102.009766
2008-07-31,22731.099609
2008-08-31,21261.890625
2008-09-30,18016.210938
2008-10-31,13968.669922
2008-11-30,13888.240234
2008-12-31,14387.480469
2009-01-31,13278.209961
2009-02-28,12811.570313
2009-03-31,13576.019531
2009-04-30,15520.990234
2009-05-31,18171
2009-06-30,18378.730469
2009-07-31,20573.330078
2009-08-31,19724.189453
2009-09-30,20955.25
2009-10-31,21752.869141
2009-11-30,21821.5
2009-12-31,21872.5
2010-01-31,20121.990234
2010-02-28,20608.699219
2010-03-31,21239.349609
2010-04-30,21108.589844
2010-05-31,19765.189453
2010-06-30,20128.990234
2010-07-31,21029.810547
2010-08-31,20536.490234
2010-09-30,22358.169922
2010-10-31,23096.320313
2010-11-30,23007.990234
2010-12-31,23035.449219
2011-01-31,23447.339844
2011-02-28,23338.019531
2011-03-31,23527.519531
2011-04-30,23720.810547
2011-05-31,23684.130859
2011-06-30,22398.099609
2011-07-31,22440.25
2011-08-31,20534.849609
2011-09-30,17592.410156
2011-10-31,19864.869141
2011-11-30,17989.349609
2011-12-31,18434.390625
2012-01-31,20390.490234
2012-02-29,21680.080078
2012-03-31,20555.580078
2012-04-30,21094.210938
2012-05-31,18629.519531
2012-06-30,19441.460938
2012-07-31,19796.810547
2012-08-31,19482.570313
2012-09-30,20840.380859
2012-10-31,21641.820313
2012-11-30,22030.390625
2012-12-31,22656.919922
2013-01-31,23729.529297
2013-02-28,23020.269531
2013-03-31,22299.630859
2013-04-30,22737.009766
2013-05-31,22392.160156
2013-06-30,20803.289063
2013-07-31,21883.660156
2013-08-31,21731.369141
2013-09-30,22859.859375
2013-10-31,23206.369141
2013-11-30,23881.289063
2013-12-31,23306.390625
2014-01-31,22035.419922
2014-02-28,22836.960938
2014-03-31,22151.060547
2014-04-30,22133.970703
2014-05-31,23081.650391
2014-06-30,23190.720703
2014-07-31,24756.849609
